"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","80844.7","","","","1"
"2018","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","82166.2","","","","1"
"2019","Saskatchewan","2016A000247","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","81540.7","","","","1"
"2000","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","207779.6","","","","1"
"2001","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","211558.0","","","","1"
"2002","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","216775.7","","","","1"
"2003","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","224711.1","","","","1"
"2004","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","237664.3","","","","1"
"2005","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","248615.4","","","","1"
"2006","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","264843.4","","","","1"
"2007","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","269988.8","","","","1"
"2008","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","273513.8","","","","1"
"2009","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","258933.9","","","","1"
"2010","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","272172.0","","","","1"
"2011","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","290513.8","","","","1"
"2012","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","302130.7","","","","1"
"2013","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","319548.1","","","","1"
"2014","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","338262.6","","","","1"
"2015","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","326476.7","","","","1"
"2016","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","314599.4","","","","1"
"2017","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","329904.6","","","","1"
"2018","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","336281.3","","","","1"
"2019","Alberta","2016A000248","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","334172.2","","","","1"
"2000","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","154965.9","","","","1"
"2001","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","155830.5","","","","1"
"2002","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","161762.2","","","","1"
"2003","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","165799.6","","","","1"
"2004","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","172580.4","","","","1"
"2005","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","180855.0","","","","1"
"2006","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","189185.8","","","","1"
"2007","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","194682.7","","","","1"
"2008","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","195789.1","","","","1"
